'Z''1','Z''2','Z''3','Z''4','Z''5','Z''6','Z''7','Z''8','Z''9','Z''10','Z''11','Z''12','Z''13','Z''14','Z''15','Z''16','Z''17','Z''18','Z''19','Z''20','Z''21','Z''22','Z''23','Z''24','Z''25','Z''26','Z''27','Z''28','Z''29','Z''30','Z''31','Z''32','Z''33','Z''34','Z''35','Z''36','Z''37','Z''38','Z''39','Z''40','Z''''1','Z''''2','Z''''3','Z''''4','Z''''5','Z''''6','Z''''7','Z''''8','Z''''9','Z''''10','Z''''11','Z''''12','Z''''13','Z''''14','Z''''15','Z''''16','Z''''17','Z''''18','Z''''19','Z''''20','Z''''21','Z''''22','Z''''23','Z''''24','Z''''25','Z''''26','Z''''27','Z''''28','Z''''29','Z''''30','Z''''31','Z''''32','Z''''33','Z''''34','Z''''35','Z''''36','Z''''37','Z''''38','Z''''39','Z''''40',Class
3.613407433136505631e+01,4.748045825503275807e+01,5.882684217870045273e+01,7.017322610236814739e+01,8.151961002603584916e+01,9.286599394970356514e+01,1.042123778733712385e+02,1.155587617970389402e+02,1.269051457207066420e+02,1.382515296443743296e+02,1.495979135680420313e+02,1.609442974917097331e+02,1.722906814153774349e+02,1.836370653390451650e+02,1.949834492627128384e+02,2.063298331863805117e+02,2.176762171100482419e+02,2.290226010337159721e+02,2.403689849573836455e+02,2.517153688810513188e+02,2.630617528047190490e+02,2.744081367283866939e+02,2.857545206520543957e+02,2.971009045757220974e+02,3.084472884993897992e+02,3.197936724230575010e+02,3.311400563467252027e+02,3.424864402703929045e+02,3.538328241940606063e+02,3.651792081177283080e+02,3.765255920413960098e+02,3.878719759650637116e+02,3.992183598887314133e+02,4.105647438123991151e+02,4.219111277360668169e+02,4.332575116597345186e+02,4.446038955834022204e+02,4.559502795070699221e+02,4.672966634307376239e+02,4.786430473544053257e+02,-9.499247423874123797e+00,-4.285140990106152259e+01,-6.442087889163528303e+01,-8.157083274661491146e+01,-9.532429595347747409e+01,-1.068305286589164638e+02,-1.162811179924942593e+02,-1.246099483292736210e+02,-1.318558012595320577e+02,-1.380969234669754542e+02,-1.440816751539217080e+02,-1.477307242020569902e+02,-1.511869982930976164e+02,-1.536209350044238704e+02,-1.555635893466615016e+02,-1.575062436888991328e+02,-1.582710125293494912e+02,-1.588422929390768843e+02,-1.590688457251912951e+02,-1.580542193116901899e+02,-1.562211316369791518e+02,-1.533511572448108780e+02,-1.499143999202948692e+02,-1.462311739548593721e+02,-1.411019621895193552e+02,-1.355692976921036461e+02,-1.286215432104213505e+02,-1.209818692117181769e+02,-1.123848209325782648e+02,-1.014550903602613232e+02,-8.844991831156947626e+01,-7.317119098907969033e+01,-5.205076491444694398e+01,-2.609919613413608630e+01,-5.460366950070911329e+00,-1.327080435438568884e+01,-2.010972594896060883e+01,-2.557797377522237880e+01,-3.079241471002641717e+01,-3.506078499478996946e+01,1
3.786026480755548107e+01,5.089098842572265369e+01,6.392171204388983341e+01,7.695243566205699892e+01,8.998315928022417154e+01,1.030138828983913442e+02,1.160446065165585168e+02,1.290753301347256752e+02,1.421060537528928762e+02,1.551367773710600204e+02,1.681675009892272215e+02,1.811982246073943941e+02,1.942289482255615951e+02,2.072596718437287109e+02,2.202903954618959119e+02,2.333211190800630277e+02,2.463518426982302287e+02,2.593825663163974014e+02,2.724132899345646024e+02,2.854440135527317466e+02,2.984747371708989476e+02,3.115054607890660918e+02,3.245361844072332929e+02,3.375669080254004939e+02,3.505976316435676381e+02,3.636283552617347823e+02,3.766590788799019833e+02,3.896898024980691844e+02,4.027205261162363286e+02,4.157512497344034728e+02,4.287819733525706738e+02,4.418126969707378748e+02,4.548434205889050190e+02,4.678741442070721632e+02,4.809048678252393643e+02,4.939355914434065653e+02,5.069663150615737095e+02,5.199970386797408537e+02,5.330277622979079979e+02,5.460584859160752558e+02,-3.219485519112084138e+00,-2.820890214414740171e+01,-5.562883334412772740e+01,-7.727638149016985381e+01,-9.392645918737864008e+01,-1.072003112491134829e+02,-1.188667430335027575e+02,-1.286058311813354180e+02,-1.362511518912646125e+02,-1.431856168031436027e+02,-1.492936005264244557e+02,-1.537214963362688422e+02,-1.574564471527441469e+02,-1.603714656672725027e+02,-1.621552537877651901e+02,-1.633776375710935440e+02,-1.639127976675371769e+02,-1.633222530982353646e+02,-1.620434788610555756e+02,-1.597885017921414601e+02,-1.565566063206742626e+02,-1.525983191142685200e+02,-1.472781323165560536e+02,-1.411952205439944521e+02,-1.344542513364176841e+02,-1.257079619632554568e+02,-1.152525840747150738e+02,-1.037228693376049193e+02,-8.976893302062435964e+01,-7.387834823852364252e+01,-5.315517609988014414e+01,-3.325990256207413154e+01,-2.322889289777240407e+01,-1.806026850569616116e+01,-1.933405175283644439e+01,-2.092182307160642907e+01,-2.281712384552843531e+01,-2.464636979382554927e+01,-2.643653753167096454e+01,-2.817901387717308026e+01,1
4.784980317239786984e+01,5.758263493675099198e+01,6.731546670110411412e+01,7.704829846545723626e+01,8.678113022981035840e+01,9.651396199416348054e+01,1.062467937585166027e+02,1.159796255228697248e+02,1.257124572872228470e+02,1.354452890515759691e+02,1.451781208159291054e+02,1.549109525802822134e+02,1.646437843446353213e+02,1.743766161089884577e+02,1.841094478733415940e+02,1.938422796376946735e+02,2.035751114020478099e+02,2.133079431664009178e+02,2.230407749307540826e+02,2.327736066951071905e+02,2.425064384594602984e+02,2.522392702238134348e+02,2.619721019881665711e+02,2.717049337525196506e+02,2.814377655168727870e+02,2.911705972812259233e+02,3.009034290455790597e+02,3.106362608099321392e+02,3.203690925742852755e+02,3.301019243386384119e+02,3.398347561029914914e+02,3.495675878673446277e+02,3.593004196316977641e+02,3.690332513960509004e+02,3.787660831604039799e+02,3.884989149247571163e+02,3.982317466891103095e+02,4.079645784534633890e+02,4.176974102178164685e+02,4.274302419821696049e+02,-3.192669825832354036e+00,-1.794942708049778446e+01,-3.078135728498637036e+01,-4.157584803756139280e+01,-5.104762579160637870e+01,-5.973051237545143266e+01,-6.616879543288337118e+01,-7.225192090275579915e+01,-7.731103136851947966e+01,-8.212673726071601266e+01,-8.583461873693157429e+01,-8.917925588985576724e+01,-9.145971514739039776e+01,-9.328158183969239303e+01,-9.457912527369491329e+01,-9.558844187759831357e+01,-9.593598475955319316e+01,-9.582758366688275942e+01,-9.492407120169647783e+01,-9.334149822119802309e+01,-9.141197123632653643e+01,-8.911739639360263254e+01,-8.611365773293607617e+01,-8.219083594764614986e+01,-7.775902324495962148e+01,-7.251241614058120888e+01,-6.657448693168360876e+01,-5.925826895044210829e+01,-5.090755160877549201e+01,-4.146657097155714666e+01,-3.063758469436196918e+01,-1.450802675252687379e+01,-2.845147421028404455e+00,-6.476045513556673683e+00,-1.010694360608494335e+01,-1.385233833630583433e+01,-1.761350996662044821e+01,-2.086184743657824825e+01,-2.408482553604995502e+01,-2.730780363552167955e+01,1
5.485093203658685468e+01,6.088248085903529017e+01,6.691402968148372565e+01,7.294557850393216825e+01,7.897712732638061084e+01,8.500867614882903922e+01,9.104022497127748181e+01,9.707177379372592441e+01,1.031033226161743670e+02,1.091348714386227954e+02,1.151664202610712380e+02,1.211979690835196806e+02,1.272295179059681232e+02,1.332610667284165515e+02,1.392926155508649799e+02,1.453241643733134083e+02,1.513557131957618935e+02,1.573872620182103219e+02,1.634188108406587503e+02,1.694503596631071787e+02,1.754819084855556071e+02,1.815134573080040354e+02,1.875450061304524922e+02,1.935765549529009206e+02,1.996081037753493490e+02,2.056396525977978058e+02,2.116712014202462342e+02,2.177027502426946342e+02,2.237342990651431478e+02,2.297658478875916046e+02,2.357973967100400046e+02,2.418289455324884329e+02,2.478604943549368897e+02,2.538920431773852897e+02,2.599235919998337749e+02,2.659551408222822033e+02,2.719866896447306317e+02,2.780182384671790601e+02,2.840497872896274885e+02,2.900813361120759737e+02,-2.949374782910638260e+00,-1.952204828477423249e+01,-2.905954590724060438e+01,-3.607679710415465024e+01,-4.265352124277366386e+01,-4.774988971236266622e+01,-5.276693199435371184e+01,-5.688259057082530745e+01,-5.924475688475583723e+01,-6.160692319868636702e+01,-6.396908951261689680e+01,-6.522375097487129381e+01,-6.644717843882450836e+01,-6.767060590277770871e+01,-6.806462402856143967e+01,-6.802893846246062992e+01,-6.799325289635982017e+01,-6.744471919264519499e+01,-6.592817652038060316e+01,-6.441163384811601134e+01,-6.284016289848295855e+01,-5.978084069756269514e+01,-5.672151849664240331e+01,-5.366219629572212568e+01,-4.876123717199518381e+01,-4.372899744408294254e+01,-3.771651763555851744e+01,-3.052244123662649855e+01,-2.106415794606964909e+01,-1.008234509567811266e+01,-3.003254435270589884e+00,-7.375474724940564109e+00,-1.164757218853022458e+01,-1.573912295462690736e+01,-1.936548085839218558e+01,-2.225554889843081696e+01,-2.514561693846944834e+01,-2.794405457543865268e+01,-2.955129381544889355e+01,-3.115853305545914509e+01,1
3.059621166194438047e+02,6.403405478062923066e+02,9.747189789931408086e+02,1.309097410179989311e+03,1.643475841366837813e+03,1.977854272553686314e+03,2.312232703740534816e+03,2.646611134927383773e+03,2.980989566114231820e+03,3.315367997301080322e+03,3.649746428487928824e+03,3.984124859674776872e+03,4.318503290861625828e+03,4.652881722048474330e+03,4.987260153235322832e+03,5.321638584422171334e+03,5.656017015609019836e+03,5.990395446795868338e+03,6.324773877982716840e+03,6.659152309169565342e+03,6.993530740356413844e+03,7.327909171543262346e+03,7.662287602730110848e+03,7.996666033916959350e+03,8.331044465103808761e+03,8.665422896290656354e+03,8.999801327477503946e+03,9.334179758664355177e+03,9.668558189851204588e+03,1.000293662103805036e+04,1.033731505222489795e+04,1.067169348341174918e+04,1.100607191459859678e+04,1.134045034578544437e+04,1.167482877697229196e+04,1.200920720815914319e+04,1.234358563934599078e+04,1.267796407053283838e+04,1.301234250171968597e+04,1.334672093290653538e+04,-2.350081037277159908e+02,-7.772667443125955060e+02,-1.098788904662928871e+03,-1.280460673948887006e+03,-1.462132443234845141e+03,-1.571604254240576438e+03,-1.646424984996375088e+03,-1.690352177732098198e+03,-1.681322338205988899e+03,-1.672292498679878918e+03,-1.628217516813534075e+03,-1.577910531456285980e+03,-1.527603546099038113e+03,-1.493033607370508207e+03,-1.510779822557062062e+03,-1.528526037743615916e+03,-1.546272252930169770e+03,-1.677804046882765306e+03,-1.881596551737321306e+03,-2.085389056591877306e+03,-2.289181561446433079e+03,-2.437352712358623194e+03,-2.584780849783649046e+03,-2.732208987208674898e+03,-2.820190842168535710e+03,-2.858494138417206159e+03,-2.896797434665877063e+03,-2.935100730914548876e+03,-2.905318483347766232e+03,-2.852051064030202269e+03,-2.798783644712637852e+03,-2.730974386238483021e+03,-2.562145949855212621e+03,-2.393317513471942220e+03,-2.224489077088672275e+03,-1.970937304377741157e+03,-1.636413987340841913e+03,-1.301890670303942443e+03,-9.170787313846748248e+02,-4.825807027195769479e+02,1
3.440681950338330353e+02,1.327672561978288741e+03,2.311276928922744446e+03,3.294881295867200606e+03,4.278485662811655857e+03,5.262090029756112017e+03,6.245694396700568177e+03,7.229298763645023428e+03,8.212903130589478678e+03,9.196507497533935748e+03,1.018011186447839282e+04,1.116371623142284625e+04,1.214732059836730332e+04,1.313092496531176039e+04,1.411452933225621382e+04,1.509813369920067089e+04,1.608173806614512614e+04,1.706534243308958321e+04,1.804894680003403846e+04,1.903255116697849371e+04,2.001615553392294896e+04,2.099975990086740421e+04,2.198336426781185946e+04,2.296696863475631835e+04,2.395057300170077360e+04,2.493417736864522885e+04,2.591778173558968410e+04,2.690138610253413935e+04,2.788499046947859460e+04,2.886859483642305349e+04,2.985219920336750874e+04,3.083580357031196399e+04,3.181940793725641925e+04,3.280301230420087813e+04,3.378661667114533338e+04,3.477022103808978864e+04,3.575382540503424389e+04,3.673742977197869914e+04,3.772103413892315439e+04,3.870463850586760964e+04,-2.106969205834647880e+02,-4.512104358472037120e+02,-1.245507400537771446e+03,-4.520730395722236608e+03,-7.031526109080961760e+03,-9.047311736643183394e+03,-1.065522604736963513e+04,-1.205707528307390385e+04,-1.326093455817004360e+04,-1.432228466507309531e+04,-1.524866693304344881e+04,-1.607225671889479236e+04,-1.685323912239355195e+04,-1.750214198949993443e+04,-1.810898477137828013e+04,-1.868243341309114112e+04,-1.912850566416782021e+04,-1.956017017945189946e+04,-1.996166465176323982e+04,-2.027731121476755652e+04,-2.056083174808857075e+04,-2.081998244360239187e+04,-2.101472307337596067e+04,-2.115128220323423739e+04,-2.128132617969145576e+04,-2.140658752648638983e+04,-2.142254050407893010e+04,-2.141659937202903529e+04,-2.141065823997913685e+04,-2.135504834432783537e+04,-2.125166494323900406e+04,-2.106480382701193594e+04,-2.086280649548996007e+04,-2.064420093189408362e+04,-2.026957148694326315e+04,-1.989843917086431975e+04,-1.953422404990932046e+04,-1.909133264722184322e+04,-1.862270390824454080e+04,-1.825427861954113177e+04,1
7.247019013857561731e+01,1.597980552319096432e+02,2.471259203252436407e+02,3.344537854185776382e+02,4.217816505119116641e+02,5.091095156052456900e+02,5.964373806985796591e+02,6.837652457919136850e+02,7.710931108852477109e+02,8.584209759785817369e+02,9.457488410719157628e+02,1.033076706165249789e+03,1.120404571258583701e+03,1.207732436351917841e+03,1.295060301445251753e+03,1.382388166538585892e+03,1.469716031631919805e+03,1.557043896725253489e+03,1.644371761818588084e+03,1.731699626911921769e+03,1.819027492005255908e+03,1.906355357098589593e+03,1.993683222191923960e+03,2.081011087285257872e+03,2.168338952378591785e+03,2.255666817471925697e+03,2.342994682565260064e+03,2.430322547658593976e+03,2.517650412751927888e+03,2.604978277845261800e+03,2.692306142938596167e+03,2.779634008031930080e+03,2.866961873125263992e+03,2.954289738218597904e+03,3.041617603311931816e+03,3.128945468405266183e+03,3.216273333498600095e+03,3.303601198591934008e+03,3.390929063685267920e+03,3.478256928778601832e+03,-2.219204918885952793e+01,-1.294542706480305014e+02,-1.715935351935945619e+02,-1.923130843244380515e+02,-1.863845624382481105e+02,-1.675431343113677940e+02,-1.329096866874766363e+02,-1.015688164385595655e+02,-1.427308158214380569e+02,-2.312317005730484425e+02,-3.256459816710503787e+02,-4.212629148916344093e+02,-5.123288749114018401e+02,-5.860952147286179752e+02,-6.529802597199829961e+02,-7.079469094015951214e+02,-7.547330289621855854e+02,-7.948061296309280124e+02,-8.263437954961131027e+02,-8.521944695037255997e+02,-8.727371146651664731e+02,-8.891875520976001326e+02,-8.989575487586839699e+02,-9.038956070701459566e+02,-9.045882570673010150e+02,-9.033697769218091480e+02,-8.992156265825904029e+02,-8.916418951526237606e+02,-8.802997514492089977e+02,-8.650633524635906042e+02,-8.470935299619496845e+02,-8.276993300416069133e+02,-8.043850249669089862e+02,-7.791715500006083630e+02,-7.525045251101369104e+02,-7.232599939218697500e+02,-6.922756840016265869e+02,-6.598844516244867009e+02,-6.266372517610418527e+02,-5.962494981487265022e+02,1
6.074766355140184260e+01,1.235823272763330749e+02,1.864169910012643072e+02,2.492516547261955679e+02,3.120863184511267718e+02,3.749209821760579757e+02,4.377556459009892933e+02,5.005903096259204972e+02,5.634249733508517011e+02,6.262596370757829618e+02,6.890943008007142225e+02,7.519289645256453696e+02,8.147636282505766303e+02,8.775982919755078910e+02,9.404329557004390381e+02,1.003267619425370413e+03,1.066102283150301446e+03,1.128936946875232934e+03,1.191771610600163967e+03,1.254606274325095683e+03,1.317440938050026489e+03,1.380275601774957522e+03,1.443110265499889010e+03,1.505944929224820044e+03,1.568779592949751532e+03,1.631614256674682565e+03,1.694448920399614053e+03,1.757283584124545087e+03,1.820118247849475893e+03,1.882952911574408063e+03,1.945787575299338414e+03,2.008622239024269902e+03,2.071456902749201163e+03,2.134291566474132196e+03,2.197126230199064139e+03,2.259960893923994718e+03,2.322795557648926206e+03,2.385630221373856784e+03,2.448464885098788727e+03,2.511299548823720215e+03,-2.263906856403627899e+01,-1.291764248858754627e+02,-1.864137797507796677e+02,-2.252254268889099080e+02,-2.610128266083245876e+02,-2.762370927993354712e+02,-2.912176591793187868e+02,-2.952529839543360026e+02,-2.932865512586528212e+02,-2.830246682470999531e+02,-2.672307802468506566e+02,-2.432886893849919545e+02,-2.142844397427973320e+02,-1.755176237421855490e+02,-1.397259255764614068e+02,-1.075688598284271649e+02,-1.383388195745634448e+02,-1.837647061217926989e+02,-2.318454261458024916e+02,-2.766921255771400183e+02,-3.180912562444597711e+02,-3.504505629343723854e+02,-3.803805677769801719e+02,-4.006538958946595130e+02,-4.174625740610820799e+02,-4.254574140612082260e+02,-4.312946558538380941e+02,-4.307962762174664704e+02,-4.275959566670858862e+02,-4.180021486669343744e+02,-4.060339042728983259e+02,-3.894583838961660831e+02,-3.714774987246772753e+02,-3.517778113397509969e+02,-3.318516633397322266e+02,-3.116205649757767446e+02,-2.926024524305825025e+02,-2.749566984303041863e+02,-2.583243714431247327e+02,-2.426571723840538937e+02,1
-1.369863013698648047e+00,9.925316842002203543e+00,2.122049669770305158e+01,3.251567655340390672e+01,4.381085640910475831e+01,5.510603626480560990e+01,6.640121612050646149e+01,7.769639597620731308e+01,8.899157583190816467e+01,1.002867556876090163e+02,1.115819355433098821e+02,1.228771153990107194e+02,1.341722952547115710e+02,1.454674751104124084e+02,1.567626549661132742e+02,1.680578348218141400e+02,1.793530146775149774e+02,1.906481945332157864e+02,2.019433743889166806e+02,2.132385542446175464e+02,2.245337341003184122e+02,2.358289139560191927e+02,2.471240938117200869e+02,2.584192736674208959e+02,2.697144535231217901e+02,2.810096333788226275e+02,2.923048132345234649e+02,3.035999930902244159e+02,3.148951729459251965e+02,3.261903528016260339e+02,3.374855326573269281e+02,3.487807125130277655e+02,3.600758923687286028e+02,3.713710722244294402e+02,3.826662520801302776e+02,3.939614319358311718e+02,4.052566117915320092e+02,4.165517916472329034e+02,4.278469715029337408e+02,4.391421513586345782e+02,-4.343163538873994867e+01,-7.029468721992782321e+01,-8.506813978883597827e+01,-9.691161951810589414e+01,-1.044786213249205389e+02,-1.107853651517850864e+02,-1.155624763667137529e+02,-1.194109246270014211e+02,-1.217757362708347557e+02,-1.228661953203771589e+02,-1.230240942344840818e+02,-1.220068416444435826e+02,-1.198947482488158158e+02,-1.174080172014510453e+02,-1.135159515922740070e+02,-1.072134091629738037e+02,-9.860574457805434179e+01,-8.918440171879278466e+01,-7.713058812670838904e+01,-4.739772270097952855e+01,-3.692066579772152579e+01,-6.461076113037810842e+01,-7.486627613996299146e+01,-8.423386265209322232e+01,-9.086561704458243582e+01,-9.571299135532422042e+01,-9.931973497229203929e+01,-1.024381982501790560e+02,-1.041698230082179180e+02,-1.047855231723842735e+02,-1.038686328870590359e+02,-1.027310696272758861e+02,-9.979666502882932377e+01,-9.657544712473237780e+01,-9.143817259533932429e+01,-8.491257703971410820e+01,-7.620839939957201636e+01,-6.455145390802235283e+01,-4.884449484502219718e+01,-1.756251922823361156e+01,1
-2.432816827607097998e-01,1.338179498969974723e+01,2.700687166216020785e+01,4.063194833462066669e+01,5.425702500708112552e+01,6.788210167954159147e+01,8.150717835200204320e+01,9.513225502446249493e+01,1.087573316969229609e+02,1.223824083693834410e+02,1.360074850418438928e+02,1.496325617143043303e+02,1.632576383867647962e+02,1.768827150592252622e+02,1.905077917316856997e+02,2.041328684041461656e+02,2.177579450766066316e+02,2.313830217490670975e+02,2.450080984215275919e+02,2.586331750939880294e+02,2.722582517664484953e+02,2.858833284389089044e+02,2.995084051113693704e+02,3.131334817838298363e+02,3.267585584562903023e+02,3.403836351287508251e+02,3.540087118012112342e+02,3.676337884736717001e+02,3.812588651461321092e+02,3.948839418185925751e+02,4.085090184910529842e+02,4.221340951635135070e+02,4.357591718359739730e+02,4.493842485084343821e+02,4.630093251808949049e+02,4.766344018533553708e+02,4.902594785258158367e+02,5.038845551982762458e+02,5.175096318707368255e+02,5.311347085431972346e+02,-2.589109128466560961e+01,-5.109347593023220213e+01,-6.779525989685090792e+01,-8.088567650367977535e+01,-9.198623014974155865e+01,-9.783384417709991965e+01,-1.028251478953154248e+02,-1.050859354746658596e+02,-1.066096554389466746e+02,-1.054058156002036810e+02,-1.026667227838501759e+02,-9.818203693297084556e+01,-9.259607302462346468e+01,-8.615388877184783212e+01,-7.335507217465978158e+01,-5.871424230744216288e+01,-1.663797102577187559e+01,-5.899417609773105653e+01,-8.426396374249408439e+01,-1.016284659433758009e+02,-1.158047823667386780e+02,-1.251965986418909438e+02,-1.345884149170432238e+02,-1.405828053511397968e+02,-1.462557922722644150e+02,-1.499145743177963652e+02,-1.528597179580016814e+02,-1.545263241863690382e+02,-1.540643108711813625e+02,-1.528229765769491735e+02,-1.501894358903158775e+02,-1.471329429582912667e+02,-1.418517612548652949e+02,-1.354482762910471081e+02,-1.267066578158043200e+02,-1.169886867553108800e+02,-1.036141717726631839e+02,-8.602094438321169889e+01,-6.371236075780510077e+01,-5.505710392977960055e+00,1
