'Z''1','Z''2','Z''3','Z''4','Z''5','Z''6','Z''7','Z''8','Z''9','Z''10','Z''11','Z''12','Z''13','Z''14','Z''15','Z''16','Z''17','Z''18','Z''19','Z''20','Z''21','Z''22','Z''23','Z''24','Z''25','Z''26','Z''27','Z''28','Z''29','Z''30','Z''31','Z''32','Z''33','Z''34','Z''35','Z''36','Z''37','Z''38','Z''39','Z''40','Z''''1','Z''''2','Z''''3','Z''''4','Z''''5','Z''''6','Z''''7','Z''''8','Z''''9','Z''''10','Z''''11','Z''''12','Z''''13','Z''''14','Z''''15','Z''''16','Z''''17','Z''''18','Z''''19','Z''''20','Z''''21','Z''''22','Z''''23','Z''''24','Z''''25','Z''''26','Z''''27','Z''''28','Z''''29','Z''''30','Z''''31','Z''''32','Z''''33','Z''''34','Z''''35','Z''''36','Z''''37','Z''''38','Z''''39','Z''''40',Class
5.183296175263899386e+01,6.699898797446340382e+01,8.216501419628781377e+01,9.733104041811223794e+01,1.124970666399366337e+02,1.276630928617610579e+02,1.428291190835854820e+02,1.579951453054098920e+02,1.731611715272343019e+02,1.883271977490587119e+02,2.034932239708831219e+02,2.186592501927075602e+02,2.338252764145319986e+02,2.489913026363564086e+02,2.641573288581807901e+02,2.793233550800051717e+02,2.944893813018296100e+02,3.096554075236540484e+02,3.248214337454784300e+02,3.399874599673028683e+02,3.551534861891272499e+02,3.703195124109516883e+02,3.854855386327760698e+02,4.006515648546005082e+02,4.158175910764249466e+02,4.309836172982493281e+02,4.461496435200737665e+02,4.613156697418981480e+02,4.764816959637225864e+02,4.916477221855469679e+02,5.068137484073714063e+02,5.219797746291958447e+02,5.371458008510202262e+02,5.523118270728446078e+02,5.674778532946691030e+02,5.826438795164934845e+02,5.978099057383178661e+02,6.129759319601422476e+02,6.281419581819667428e+02,6.433079844037911244e+02,4.831710093985657295e+01,5.885544172815188091e+01,6.939378251644718887e+01,7.993212330474250393e+01,9.352066484114624245e+01,1.076899366024498192e+02,1.218592083637534245e+02,1.360284801250570297e+02,1.457050116639688611e+02,1.542684891008810268e+02,1.622422485530999268e+02,1.645942294507297561e+02,1.669462103483596138e+02,1.683934081958698528e+02,1.684160778912687420e+02,1.684387475866676027e+02,1.684614172820664635e+02,1.684840869774653527e+02,1.685067566728642134e+02,1.639853050445855729e+02,1.593493523355225250e+02,1.524166426530791512e+02,1.392398822025030540e+02,1.260631217519269001e+02,1.146330640631201163e+02,1.045620518821853011e+02,9.449103970125044327e+01,9.139785809046841791e+01,8.947943511734159472e+01,8.779300779809156552e+01,8.742745895978515591e+01,8.706191012147876052e+01,8.377340313759391677e+01,7.680813922630024138e+01,6.984287531500652335e+01,6.287761140371257085e+01,5.591234749241852597e+01,4.887748488496143295e+01,3.958290977143665401e+01,3.028833465791194257e+01,0
4.819859715562597557e+01,1.531822160200743497e+02,2.581658348845227238e+02,3.631494537489710410e+02,4.681330726134194151e+02,5.731166914778677892e+02,6.781003103423161065e+02,7.830839292067645374e+02,8.880675480712128547e+02,9.930511669356611719e+02,1.098034785800109603e+03,1.203018404664557920e+03,1.308002023529006237e+03,1.412985642393454555e+03,1.517969261257903099e+03,1.622952880122351417e+03,1.727936498986799506e+03,1.832920117851248051e+03,1.937903736715696368e+03,2.042887355580144913e+03,2.147870974444592775e+03,2.252854593309041320e+03,2.357838212173489865e+03,2.462821831037938409e+03,2.567805449902386499e+03,2.672789068766835044e+03,2.777772687631283134e+03,2.882756306495732133e+03,2.987739925360180223e+03,3.092723544224628313e+03,3.197707163089076857e+03,3.302690781953524947e+03,3.407674400817973037e+03,3.512658019682422037e+03,3.617641638546870126e+03,3.722625257411319126e+03,3.827608876275767216e+03,3.932592495140215306e+03,4.037576114004663850e+03,4.142559732869111940e+03,5.500998163271196972e+01,3.003746392779672192e+02,4.334713389829399830e+02,5.499522042004101650e+02,6.445026836247378696e+02,7.026147843822305958e+02,7.456717587093083921e+02,7.696790132940861895e+02,7.826625512077254143e+02,7.892857832730480823e+02,7.880990289865563909e+02,7.849100726924691571e+02,7.800281971048596006e+02,7.603637899801399271e+02,7.359154956605270854e+02,7.051677709650818997e+02,6.838430397023420255e+02,6.638923564890027365e+02,6.432222353420651189e+02,6.215817549541330891e+02,6.016408824440999297e+02,5.927279654370873914e+02,5.904029824737630179e+02,5.927283781177234232e+02,5.999396267883223572e+02,6.090310224949868143e+02,6.202733125849881617e+02,6.324250864434991399e+02,6.323930016548771391e+02,6.083636793251032486e+02,5.875589869475614933e+02,5.690978764984565714e+02,5.862157639639031004e+02,5.887057509686400181e+02,5.562313433551285016e+02,5.132565727596343095e+02,4.279284377415715426e+02,3.293010240755011750e+02,3.175088491038941356e+02,2.813864025159109588e+02,0
3.233426252294179903e+01,3.992933905851180043e+01,4.752441559408180183e+01,5.511949212965181033e+01,6.271456866522181173e+01,7.030964520079180602e+01,7.790472173636182163e+01,8.549979827193182302e+01,9.309487480750182442e+01,1.006899513430718400e+02,1.082850278786418414e+02,1.158801044142118428e+02,1.234751809497818442e+02,1.310702574853518456e+02,1.386653340209218470e+02,1.462604105564918484e+02,1.538554870920618498e+02,1.614505636276318512e+02,1.690456401632018526e+02,1.766407166987718540e+02,1.842357932343418270e+02,1.918308697699118284e+02,1.994259463054818298e+02,2.070210228410518312e+02,2.146160993766218894e+02,2.222111759121918908e+02,2.298062524477618922e+02,2.374013289833318936e+02,2.449964055189018950e+02,2.525914820544718964e+02,2.601865585900418978e+02,2.677816351256118992e+02,2.753767116611819006e+02,2.829717881967519020e+02,2.905668647323219034e+02,2.981619412678919048e+02,3.057570178034619062e+02,3.133520943390319076e+02,3.209471708746019090e+02,3.285422474101719104e+02,-4.961818691326868702e+00,-1.003089334874029248e+01,-1.504567446160552180e+01,-1.987130387088351213e+01,-2.318085160315787974e+01,-2.370575952052761082e+01,-2.409658263728600147e+01,-2.167868203597502230e+01,-2.013160369179954401e+01,-2.034510078052842985e+01,-2.075020275916478241e+01,-2.278788338879352438e+01,-2.482556401842226990e+01,-2.645782450105816963e+01,-2.799532702034368015e+01,-2.861254268651354238e+01,-2.881754653305870306e+01,-2.826500379482236980e+01,-2.666954341320806421e+01,-2.894228630464878549e+01,-3.058673823004948389e+01,-3.187821770261870569e+01,-3.455617438482327231e+01,-3.935165989628917060e+01,-4.299436698701403259e+01,-4.523016878469390889e+01,-4.744818181464353302e+01,-4.963532703654601619e+01,-5.182247225844849225e+01,-5.285194013308674954e+01,-5.367538068321189115e+01,-5.386579258090853983e+01,-5.378210959817224790e+01,-5.381995116337277096e+01,-5.395853018278408086e+01,-5.397717723975255666e+01,-5.354090995642067696e+01,-5.310464267308878306e+01,-5.137484460904664019e+01,-4.959678047109738941e+01,0
4.476889288210034579e+01,5.739993490356327044e+01,7.003097692502619509e+01,8.266201894648911264e+01,9.529306096795204439e+01,1.079241029894149619e+02,1.205551450108778795e+02,1.331861870323407970e+02,1.458172290538037146e+02,1.584482710752666321e+02,1.710793130967295781e+02,1.837103551181924956e+02,1.963413971396554132e+02,2.089724391611183592e+02,2.216034811825812767e+02,2.342345232040441942e+02,2.468655652255071118e+02,2.594966072469700293e+02,2.721276492684329469e+02,2.847586912898958644e+02,2.973897333113587820e+02,3.100207753328216995e+02,3.226518173542846171e+02,3.352828593757475346e+02,3.479139013972104522e+02,3.605449434186733697e+02,3.731759854401362873e+02,3.858070274615993185e+02,3.984380694830622360e+02,4.110691115045252104e+02,4.237001535259880711e+02,4.363311955474509887e+02,4.489622375689139062e+02,4.615932795903768238e+02,4.742243216118396845e+02,4.868553636333026589e+02,4.994864056547655764e+02,5.121174476762284939e+02,5.247484896976914115e+02,5.373795317191543290e+02,-4.403110550651490485e+00,-1.523248540516985372e+01,-1.905618762313909897e+01,-1.932166085420302792e+01,-1.722403489737580173e+01,-1.752210818811521875e+01,-2.171880623385916920e+01,-3.824387691480924900e+01,-4.346015727198292211e+01,-5.367756386274898261e+01,-6.130026998159117113e+01,-6.673077501418185875e+01,-7.073916741341152203e+01,-7.426138305270686146e+01,-7.678251312747336499e+01,-7.900673043823756814e+01,-8.112225223282328557e+01,-8.306057459281849731e+01,-8.521453546323937189e+01,-8.789324720154664305e+01,-9.087701844287239794e+01,-9.309224399715263587e+01,-9.563387114344173767e+01,-9.764909549548576706e+01,-9.899055228950741991e+01,-1.007412482386961159e+02,-1.006122274895043631e+02,-1.003774948734315160e+02,-9.995141745225936347e+01,-9.897554972383572647e+01,-9.710556690016383641e+01,-9.333014720109058260e+01,-9.005609174587142718e+01,-8.638721492886556064e+01,-8.130785358234751925e+01,-7.717747374450975428e+01,-6.783500932302952435e+01,-5.914711233082923769e+01,-4.796175549683808015e+01,-3.511927929049969066e+01,0
4.262799495586381227e+01,5.987514685118721047e+01,7.712229874651060868e+01,9.436945064183400689e+01,1.116166025371574051e+02,1.288637544324807891e+02,1.461109063278041731e+02,1.633580582231275571e+02,1.806052101184509695e+02,1.978523620137743535e+02,2.150995139090977659e+02,2.323466658044211499e+02,2.495938176997445339e+02,2.668409695950679179e+02,2.840881214903913587e+02,3.013352733857147427e+02,3.185824252810381267e+02,3.358295771763615107e+02,3.530767290716848947e+02,3.703238809670083356e+02,3.875710328623317196e+02,4.048181847576551036e+02,4.220653366529784876e+02,4.393124885483018147e+02,4.565596404436252556e+02,4.738067923389486964e+02,4.910539442342720804e+02,5.083010961295954644e+02,5.255482480249188484e+02,5.427953999202422892e+02,5.600425518155657301e+02,5.772897037108889435e+02,5.945368556062123844e+02,6.117840075015358252e+02,6.290311593968592661e+02,6.462783112921827069e+02,6.635254631875059204e+02,6.807726150828293612e+02,6.980197669781528020e+02,7.152669188734762429e+02,1.292415388461671633e+01,2.751023014709535985e+01,3.891597827647026264e+01,4.797221458799477034e+01,5.446280880213956266e+01,5.660148068748919314e+01,5.656672865582520160e+01,5.561774416710991176e+01,5.371496967382529419e+01,5.060090058161414106e+01,4.929569954194460735e+01,5.191145839651932192e+01,5.833868226701405746e+01,6.950233448508383560e+01,8.225384688077032536e+01,9.585882945725599313e+01,1.086807747180810964e+02,1.197831413580822186e+02,1.276646012928187588e+02,1.347315727643664900e+02,1.395333449062552802e+02,1.433348410314207513e+02,1.469319209999520410e+02,1.483033306885972138e+02,1.480543930386918987e+02,1.461429154074934900e+02,1.418827937383599647e+02,1.365688087598810796e+02,1.307743834623086627e+02,1.243450752791662239e+02,1.124711320920530397e+02,9.965850956381476067e+01,8.476521301944799802e+01,7.140670270687823518e+01,6.341824035063076082e+01,5.799936051837980244e+01,5.501000891248080649e+01,5.064913355121329630e+01,4.243345537733335249e+01,2.368069921911126130e+01,0
2.400835073068893166e+01,4.263877000082015201e+01,6.126918927095135103e+01,7.989960854108255717e+01,9.853002781121375619e+01,1.171604470813449836e+02,1.357908663514761827e+02,1.544212856216074101e+02,1.730517048917386091e+02,1.916821241618698082e+02,2.103125434320010356e+02,2.289429627021322347e+02,2.475733819722634337e+02,2.662038012423946611e+02,2.848342205125259170e+02,3.034646397826570592e+02,3.220950590527883151e+02,3.407254783229194572e+02,3.593558975930507131e+02,3.779863168631820258e+02,3.966167361333131112e+02,4.152471554034444239e+02,4.338775746735755092e+02,4.525079939437068219e+02,4.711384132138379073e+02,4.897688324839692200e+02,5.083992517541004190e+02,5.270296710242315612e+02,5.456600902943628171e+02,5.642905095644939593e+02,5.829209288346252151e+02,6.015513481047563573e+02,6.201817673748876132e+02,6.388121866450188691e+02,6.574426059151500112e+02,6.760730251852812671e+02,6.947034444554124093e+02,7.133338637255436652e+02,7.319642829956749210e+02,7.505947022658060632e+02,-7.272727272727252057e+00,-3.224981322629225389e+01,-5.740674519015775701e+01,-8.180199649055276723e+01,-9.911787406366219955e+01,-1.153652497689194405e+02,-1.286842311612953438e+02,-1.417443311021292232e+02,-1.522831908153008271e+02,-1.607985420542759130e+02,-1.676798507303093686e+02,-1.741869173979264929e+02,-1.806349559776433864e+02,-1.871114817903807932e+02,-1.905147451936441882e+02,-1.928326596950449243e+02,-1.969786010486593568e+02,-2.011453989435640324e+02,-2.011453989435640324e+02,-2.011453989435640324e+02,-2.011453989435640324e+02,-2.011453989435640324e+02,-2.011453989435640324e+02,-1.996999053212564093e+02,-1.975927103199829560e+02,-1.948048281993235946e+02,-1.917694639712987907e+02,-1.858043871467338022e+02,-1.796292732072547551e+02,-1.744783520930309066e+02,-1.655571950984793261e+02,-1.536936458037374109e+02,-1.404484200814475230e+02,-1.249111744524587806e+02,-1.087728701656973840e+02,-8.772531844526847067e+01,-6.230148796620858320e+01,-3.561760565855658456e+01,-1.396832737765295640e+01,-7.762023908812807349e+00,0
2.580267248919452072e+01,3.145549935689948029e+01,3.710832622460443275e+01,4.276115309230939232e+01,4.841397996001434478e+01,5.406680682771929725e+01,5.971963369542425681e+01,6.537246056312920928e+01,7.102528743083416884e+01,7.667811429853912841e+01,8.233094116624408798e+01,8.798376803394904755e+01,9.363659490165399291e+01,9.928942176935896669e+01,1.049422486370639263e+02,1.105950755047688858e+02,1.162479023724738454e+02,1.219007292401788050e+02,1.275535561078837645e+02,1.332063829755886957e+02,1.388592098432936552e+02,1.445120367109985864e+02,1.501648635787035460e+02,1.558176904464085339e+02,1.614705173141134935e+02,1.671233441818184531e+02,1.727761710495234126e+02,1.784289979172283438e+02,1.840818247849333034e+02,1.897346516526382345e+02,1.953874785203431941e+02,2.010403053880481536e+02,2.066931322557531701e+02,2.123459591234581012e+02,2.179987859911630323e+02,2.236516128588679919e+02,2.293044397265729515e+02,2.349572665942779679e+02,2.406100934619828706e+02,2.462629203296878302e+02,-8.016865906774114592e+00,-1.056089404577400437e+01,-1.310492218477389059e+01,-1.564895032377378215e+01,-1.819297846277366659e+01,-2.534398168422897157e+01,-3.270824364661620365e+01,-4.007250560900342151e+01,-4.567988459043505145e+01,-5.007550808009522569e+01,-5.447113156975539994e+01,-5.873920337223086818e+01,-6.157193851001188278e+01,-6.440467364779290449e+01,-6.723740878557390488e+01,-6.900964478946129077e+01,-6.998645000938577709e+01,-7.096325522931027763e+01,-7.187429161053015036e+01,-7.177661108853766336e+01,-7.167893056654519057e+01,-7.158125004455271778e+01,-7.126827852745275038e+01,-7.077987591749051433e+01,-7.029147330752827827e+01,-6.971936490285108334e+01,-6.717967133104741606e+01,-6.463997775924374878e+01,-6.210028418744008150e+01,-5.899046332532565629e+01,-5.537628401160507963e+01,-5.176210469788449586e+01,-4.810286986116572194e+01,-4.228043274589244760e+01,-3.645799563061917326e+01,-2.860179035435376704e+01,-1.750385434249440308e+01,-1.323948511668941030e+01,-1.152938948634024641e+01,-9.819293855991075404e+00,0
2.254697286012526547e+01,3.125118376502184958e+01,3.995539466991843369e+01,4.865960557481501780e+01,5.736381647971160191e+01,6.606802738460818603e+01,7.477223828950477014e+01,8.347644919440135425e+01,9.218066009929793836e+01,1.008848710041945225e+02,1.095890819090911066e+02,1.182932928139876765e+02,1.269975037188842748e+02,1.357017146237808447e+02,1.444059255286774430e+02,1.531101364335740413e+02,1.618143473384706112e+02,1.705185582433671811e+02,1.792227691482637795e+02,1.879269800531604062e+02,1.966311909580569193e+02,2.053354018629535176e+02,2.140396127678500875e+02,2.227438236727467142e+02,2.314480345776432841e+02,2.401522454825398540e+02,2.488564563874364524e+02,2.575606672923330507e+02,2.662648781972296206e+02,2.749690891021261905e+02,2.836733000070228172e+02,2.923775109119193871e+02,3.010817218168160139e+02,3.097859327217125269e+02,3.184901436266090968e+02,3.271943545315057236e+02,3.358985654364022935e+02,3.446027763412988634e+02,3.533069872461954901e+02,3.620111981510920600e+02,-7.272727272727252057e+00,-8.819783682169026306e+00,-1.939650563503775516e+01,-3.252116188297976151e+01,-4.562201377418654147e+01,-5.823046705239386966e+01,-6.546751922898705800e+01,-7.148384971014934308e+01,-7.653425179419058111e+01,-8.074568313100418493e+01,-8.476495330470861234e+01,-8.822434333137687190e+01,-9.168373335804515989e+01,-9.507359663483902068e+01,-9.846174064265146342e+01,-1.005671392827354396e+02,-1.023720384270841635e+02,-1.037641840742124231e+02,-1.047911094494453152e+02,-1.054085966700644832e+02,-1.051829842770208785e+02,-1.049500451765359230e+02,-1.045693242632748934e+02,-1.041886033500138780e+02,-1.027854268356599192e+02,-1.007438196068064826e+02,-9.867030579568798032e+01,-9.652161633813004471e+01,-9.437292688057208068e+01,-9.073109982815434194e+01,-8.693131215584128313e+01,-8.216085420978379261e+01,-7.704697330079588369e+01,-7.193309239180796055e+01,-6.681921148282006584e+01,-6.184021664143990193e+01,-5.747837704259718095e+01,-5.311653744375446706e+01,-4.870056837488021273e+01,-4.427856547122598840e+01,0
2.907164984510848171e+01,6.496213311497652398e+01,1.008526163848445663e+02,1.367430996547125801e+02,1.726335829245806224e+02,2.085240661944486362e+02,2.444145494643166785e+02,2.803050327341846923e+02,3.161955160040528199e+02,3.520859992739207769e+02,3.879764825437889044e+02,4.238669658136568614e+02,4.597574490835248753e+02,4.956479323533929460e+02,5.315384156232610167e+02,5.674288988931290305e+02,6.033193821629970444e+02,6.392098654328650582e+02,6.751003487027330721e+02,7.109908319726011996e+02,7.468813152424692134e+02,7.827717985123372273e+02,8.186622817822052411e+02,8.545527650520732550e+02,8.904432483219412688e+02,9.263337315918093964e+02,9.622242148616774102e+02,9.981146981315454241e+02,1.034005181401413438e+03,1.069895664671281111e+03,1.105786147941149693e+03,1.141676631211017593e+03,1.177567114480885493e+03,1.213457597750753848e+03,1.249348081020621521e+03,1.285238564290489649e+03,1.321129047560357776e+03,1.357019530830225904e+03,1.392910014100094031e+03,1.428800497369961704e+03,-3.435675027480760946e+01,-1.305390161587869784e+02,-2.107310735252163738e+02,-2.729271685724864938e+02,-3.258731851065577985e+02,-3.676282832190810836e+02,-4.060530131268578771e+02,-4.381379492364206385e+02,-4.643847463320979045e+02,-4.883782330123959241e+02,-5.098605096449182952e+02,-5.296748169318798318e+02,-5.436356121638923469e+02,-5.587339093522971325e+02,-5.746518429053485306e+02,-5.864752750077005885e+02,-5.996621997636206061e+02,-6.116915198614833571e+02,-6.160130997193173243e+02,-6.192476762298834956e+02,-6.213961808178496540e+02,-6.205154757870097910e+02,-6.185548803909788376e+02,-6.132203282377910227e+02,-6.066973850880218606e+02,-5.979843937155469575e+02,-5.866658023736508767e+02,-5.738512615023873877e+02,-5.577130199158469850e+02,-5.405990610010529736e+02,-5.207898871605995055e+02,-4.979420037031269999e+02,-4.718640596044103859e+02,-4.398320855782200738e+02,-4.024234530744120093e+02,-3.546528906632578924e+02,-3.015454825131502616e+02,-2.424376553059057073e+02,-1.740967822471793625e+02,-8.670888230587570433e+01,0
1.688007388116909624e+01,4.084481843607772333e+01,6.480956299098633622e+01,8.877430754589494200e+01,1.127390521008035620e+02,1.367037966557121820e+02,1.606685412106207878e+02,1.846332857655294504e+02,2.085980303204380277e+02,2.325627748753466335e+02,2.565275194302552677e+02,2.804922639851639019e+02,3.044570085400724793e+02,3.284217530949811135e+02,3.523864976498897477e+02,3.763512422047983250e+02,4.003159867597069592e+02,4.242807313146155934e+02,4.482454758695241708e+02,4.722102204244328050e+02,4.961749649793414392e+02,5.201397095342499597e+02,5.441044540891587076e+02,5.680691986440672281e+02,5.920339431989758623e+02,6.159986877538844965e+02,6.399634323087931307e+02,6.639281768637017649e+02,6.878929214186103991e+02,7.118576659735189196e+02,7.358224105284275538e+02,7.597871550833361880e+02,7.837518996382448222e+02,8.077166441931534564e+02,8.316813887480620906e+02,8.556461333029707248e+02,8.796108778578792453e+02,9.035756224127879932e+02,9.275403669676964000e+02,9.515051115226051479e+02,-3.773105618013710227e+01,-9.798331177474844367e+01,-1.627651942601279984e+02,-2.064323426639413128e+02,-2.391371568039162696e+02,-2.690669286441727763e+02,-2.917679335548688186e+02,-3.144689384655648610e+02,-3.329617735255998809e+02,-3.492369930557693465e+02,-3.650094383534282088e+02,-3.754753053930012925e+02,-3.859411724325743194e+02,-3.944032553159159988e+02,-4.009977583031932227e+02,-4.075922612904705034e+02,-4.108227610292718168e+02,-4.138695936458472602e+02,-4.156960690022280573e+02,-4.155186427964196696e+02,-4.153412165906113387e+02,-4.120368503600087138e+02,-4.079914395511207204e+02,-4.032176534989362722e+02,-3.961109589943112042e+02,-3.890042644896860224e+02,-3.792111740440252561e+02,-3.680776465605445082e+02,-3.566198620394848149e+02,-3.421048235387032150e+02,-3.275897850379216152e+02,-3.108064339455638674e+02,-2.919650443357076597e+02,-2.722564455587527164e+02,-2.457411757496192024e+02,-2.174738662991944125e+02,-1.814036585150911947e+02,-1.356314751784698558e+02,-9.178784644828944295e+01,-5.300620518657046887e+01,0
